id,word2vec
206,"[-0.008408033185535006,0.3564710873696539,0.18486765171918604,-0.22461408811310926,0.13106287519137064]"
207,"[-0.08274447172880173,0.2881459306393351,0.1751226293189185,-0.23818152863532305,0.08211042984787907]"
208,"[-0.005561318752976755,0.26942062067488826,0.18092229108636576,-0.11817134264856577,0.032577587912480034]"
209,"[0.14726357188607964,0.2520782241065587,0.21395570079662968,-0.2341079632086413,0.15155176499060222]"
210,"[-0.14229140430688858,0.29561742891867954,0.21440111100673676,-0.26820584138234455,0.30792026982332266]"
211,"[-0.022477643409123022,0.21729171493401128,0.1468344183328251,-0.12301870613979796,0.020507146061087646]"
212,"[0.12941160518676043,0.34267597179859877,0.14907452301122248,-0.2681815883843228,0.14951013459358364]"
213,"[0.01017500413581729,0.26630446004370845,0.16344270684445897,-0.19735068563992778,0.08788257782968381]"
214,"[-0.06421777724542402,0.22353621834719722,0.16326250626959585,-0.1360894526270303,0.09161648467521775]"
215,"[-0.04199386354197156,0.20332271851260555,0.1690119979056445,-0.11017950564961541,0.043881198983978145]"
216,"[-0.06893472627482632,0.15039963067763232,0.13001626992428844,0.004509433934634382,0.1353041265498508]"
217,"[0.12212076203690635,0.30137066832847065,0.13380713740156755,-0.23144692917250922,0.13106461448801887]"
218,"[0.16015404742211103,0.34381353156641126,0.13947683153674006,-0.2795316862175241,0.14227363327518106]"
219,"[0.14239364448520872,0.3126377939350075,0.12094749530984295,-0.23415293534182838,0.13308731590708095]"
220,"[0.11984508567386203,0.3182698103288809,0.11696109010113609,-0.24492333425829807,0.13435108380185232]"
221,"[0.13415047836800414,0.3463470120396879,0.1072224150929186,-0.2704647484545906,0.10897138507829772]"
222,"[-0.12051249109208584,-0.00984237133525312,0.13835187535732985,-0.15353298163972795,0.10793016292154789]"
223,"[-0.11676392750814557,-0.023715035757049918,0.13850900996476412,-0.14216784766176715,0.12133988598361611]"
224,"[-0.08534983173012733,0.2469778200611472,0.14934912510216236,-0.22861190512776375,0.19240877265110612]"
225,"[-0.01700513754040003,0.20805139522999527,0.14785790983587505,-0.006571124400943518,0.043494399869814515]"
226,"[-0.008427906408905983,0.17852370967157186,0.06831437144428491,-0.014603049587458374,0.0578932645265013]"
227,"[-0.036065926154454545,0.1874858827019731,0.19188340691228706,-0.059069838374853134,0.13249098268958429]"
228,"[-0.04161597664157549,0.20805464933315912,0.20614892585823932,-0.057721852635343865,0.13080092651459077]"
229,"[-0.1691855068008105,0.23480882371465364,0.18812697660177946,-0.15663046669214964,0.339809729407231]"
230,"[0.06579893516997495,0.13902184631054598,0.12830691155977547,-0.04718504939228296,0.09715652124335368]"
231,"[-0.0040351394563913345,0.18978835549205542,0.21202343213371933,-0.0654785402584821,0.13951176777482033]"
232,"[-0.08587847587962945,0.24327632940063873,0.15061106098194915,-0.03340647245446841,0.12441220103452602]"
233,"[0.16742570857916558,0.3089406841567584,0.215519230812788,-0.2156928155039038,0.15485026660774434]"
234,"[0.16025512026888983,0.29845522184457096,0.2121202309748956,-0.19960278325847217,0.15623366167502742]"
235,"[0.16272818855941296,0.31555102339812685,0.22044602814795713,-0.21791101193853785,0.17494519134717326]"
236,"[-0.01818260283390474,0.17842494334197706,0.10405223878721395,-0.0380230082405938,0.07760036938513318]"
237,"[-0.01948013882954708,0.1860398454591632,0.10811844861341846,-0.03785259980294439,0.06868169389458166]"
238,"[0.011564957891823725,0.1310888241045177,0.11941330563277007,-0.03281361907720566,0.05379514819942415]"
239,"[-0.003926895762560889,0.1270621887408197,0.11326395124197007,-0.03701087757945061,0.06097564897499979]"
240,"[-0.022526859428681847,0.18939608035402164,0.10685840502588284,-0.04225604318910175,0.08010374397660294]"
241,"[-0.018873232746652015,0.18425470538851288,0.10302645154297352,-0.04053077929549747,0.06447435806815822]"
242,"[-0.03139888464162747,0.1720151298989852,0.1433817505215605,-0.17027973383665085,0.11476992908865213]"
243,"[-0.01165639515966177,0.17674115610619384,0.1341057987883687,-0.16384183863798776,0.12826798732082048]"
244,"[-0.02439086263378461,0.1723459729303916,0.1379944182311495,-0.14869092280666033,0.08167894898603359]"
245,"[-0.004648373151818911,0.17707199913760024,0.1287184664979577,-0.14225302760799724,0.09517700721820195]"
246,"[-0.0535426301881671,0.11206342194927857,0.1265921295620501,-0.044542597047984606,0.09784247931092978]"
247,"[0.003216132211188475,0.2561748089889685,0.23626858422843117,-0.22064624012758333,0.04361320682801306]"
248,"[0.062025859486311674,0.35481721139512956,0.186982749029994,-0.2599870333215222,0.13095411390531808]"
249,"[0.02778420684238275,0.1806692815075318,0.16415735819221786,-0.17110144784674047,0.06486907117068767]"
250,"[0.12853136733174325,0.3553973522037268,0.1274987615644932,-0.3406894959509373,0.1848649760708213]"
251,"[0.14630637131631374,0.4300114344805479,0.1750402762554586,-0.40335002820938826,0.21653595217503607]"
252,"[-0.04672683165831999,0.17161674988032743,0.15460945894433695,-0.04692185085944154,0.0790649415417151]"
253,"[0.1279260989278555,0.3428507138043642,0.13390500620007514,-0.3263869636692107,0.17434981390833856]"
254,"[0.08714043189372335,0.29842395175780567,0.27831563406756943,-0.14349329232105187,0.06401665608531662]"
255,"[0.06986128836870194,0.21630711699835958,0.21319755893200637,-0.14740960500203074,0.07631310150027276]"
256,"[0.25946692237630486,0.461898404173553,0.2048629643395543,-0.40170694317203015,0.2683319152565673]"
257,"[0.24952922761440277,0.1773210484534502,0.10898766145110131,-0.0484910111874342,0.22283014710992577]"
